Норматив отопления;Норматив отопления элек;Норматив ХВ;Норматив ГВ;Норматив ГВ энергия;Норматив ТКО;Норматив ТКО общ;Норматив ТКО площадь;Норматив ТКО кбм
0.028;143.0;3.79;;0.0649;;0.114;;
0.0278;116.0;6.36;;0.06;;0.027;;
0.0276;101.0;7.46;;;;0.1;;
0.0241;338.0;7.56;;;;0.0237;;
0.02;209.0;3.86;;;;0.0753;;
0.025;162.0;1.72;;;;0.0178;;
0.019;132.0;3.01;;;;0.0566;;
0.017;115.0;4.24;;;;0.0134;;
0.018;365.0;4.29;;;;0.0426;;
0.017;227.0;4.33;;;;0.0101;;
0.021;175.0;3.02;;;;0.032;;
0.021;143.0;3.79;;;;0.0076;;
0.0195;124.0;7.36;;;;0.0248;;
0.02;469.0;7.46;;;;0.0059;;
0.02;291.0;7.56;;;;0.086;;
0.0162;225.0;7.16;;;;0.028;;
0.0197;183.0;6.36;;;;0.114;;
0.02;159.0;3.86;;;;0.027;;
0.02;334.0;3.15;;;;0.114;;
0.0195;207.0;5.22;;;;0.027;;
0.0185;160.0;5.32;;;;0.1;;
0.018;130.0;5.42;;;;0.0237;;
0.018;113.0;2.52;;;;0.0753;;
0.018;431.0;1.72;;;;0.0178;;
0.0603;267.0;1.22;;;;0.0566;;
0.0153;207.0;3.01;;;;0.0134;;
0.0158;168.0;1.01;;;;0.0426;;
;146.0;2.66;;;;0.0101;;
;487.0;1.72;;;;0.032;;
;302.0;1.72;;;;0.0076;;
;234.0;4.88;;;;0.0248;;
;190.0;3.18;;;;0.0059;;
;166.0;4.29;;;;0.086;;
;527.0;4.33;;;;0.028;;
;327.0;7.56;;;;0.00857;;
;253.0;7.16;;;;;;
;206.0;6.36;;;;;;
;179.0;3.86;;;;;;
;298.0;5.22;;;;;;
;185.0;5.32;;;;;;
;143.0;5.42;;;;;;
;116.0;2.52;;;;;;
;101.0;1.72;;;;;;
;338.0;1.22;;;;;;
;209.0;1.01;;;;;;
;162.0;1.72;;;;;;
;132.0;1.72;;;;;;
;115.0;4.24;;;;;;
;365.0;4.29;;;;;;
;227.0;4.33;;;;;;
;175.0;3.02;;;;;;
;143.0;3.79;;;;;;
;124.0;7.36;;;;;;
;334.0;7.46;;;;;;
;207.0;7.56;;;;;;
;160.0;7.16;;;;;;
;130.0;6.36;;;;;;
;113.0;3.86;;;;;;
;431.0;3.15;;;;;;
;267.0;5.22;;;;;;
