NUMLS;SOB;TARTO;SUMTO;SUMTO_check;PROBLEM_FLAG
40069905;57.7;34.54;1992.96;1992.96;0
40068726;30.0;34.54;1036.2;1036.2;0
40068265;51.1;44.79;2288.77;2288.77;0
40069902;57.5;34.54;1986.05;1986.05;0
40068705;61.2;34.54;2113.85;2113.85;0
40069424;62.1;44.79;2781.46;2781.46;0
40067815;36.0;30.86;1110.96;1110.96;0
40068955;51.0;34.54;1761.54;1761.54;0
40010645;32.1;44.79;1437.76;1437.76;0
40036837;68.2;44.79;3054.68;3054.68;0
40069461;60.5;44.79;2709.8;2709.8;0
40068348;40.0;34.54;1381.6;1381.6;0
40068568;30.0;34.54;1036.2;1036.2;0
40068796;46.7;34.54;1613.02;1613.02;0
40068292;47.9;44.79;2145.44;2145.44;0
40069805;56.5;34.54;1951.51;1951.51;0
40069052;48.4;34.54;1671.74;1671.74;0
40069034;32.4;34.54;1119.1;1119.1;0
40068384;30.6;34.54;1056.92;1056.92;0
40069580;36.2;44.79;1621.4;1621.4;0
40068639;35.7;29.99;1070.64;1070.64;0
40070478;30.7;34.54;1060.38;1060.38;0
40068329;41.0;34.54;1416.14;1416.14;0
40068728;29.8;34.54;1029.29;1029.29;0
40069478;35.8;44.79;1603.48;1603.48;0
40068809;45.3;34.54;1564.66;1564.66;0
40069549;68.2;44.79;3054.68;3054.68;0
40069447;61.3;44.79;2745.63;2745.63;0
40069653;69.1;44.79;3094.99;3094.99;0
40070008;46.3;44.79;2073.78;2073.78;0
40069017;40.3;34.54;1391.96;1391.96;0
40069204;49.1;34.54;1695.91;1695.91;0
40020565;59.1;34.54;2041.31;2041.31;0
40010619;60.4;44.79;2705.32;2705.32;0
40069730;52.7;44.79;2360.43;2360.43;0
40069806;33.4;34.54;1153.64;1153.64;0
40068588;30.8;34.54;1063.83;1063.83;0
40069706;68.7;44.79;3077.07;3077.07;0
40068989;44.7;34.54;1543.94;1543.94;0
40069099;58.4;34.54;2017.14;2017.14;0
40036785;57.7;44.79;2584.38;2584.38;0
40069545;68.2;44.79;3054.68;3054.68;0
40010616;32.2;44.79;1442.24;1442.24;0
40069132;57.6;34.54;1989.5;1989.5;0
