Норматив отопления,Норматив отопления элек (Комнаты - Человек - Значение),Норматив ХВ,Норматив ГВ,Норматив ГВ энергия,Норматив ТКО,Норматив ТКО общ,Норматив ТКО площадь,Норматив ТКО кбм
"0,019",4 и более - 5 - 179,"6,36","1,20","0,0600",,"0,0248",,
"0,0185",2 - 1 - 298,"3,86","3,17","0,0648",,"0,0059",,
"0,02",2 - 2 - 185,"3,15","3,23","0,0600",,"0,086",,
"0,036",2 - 3 - 143,"5,22","2,57","0,0649",,"0,028",,
"0,021",2 - 4 - 116,"5,32","1,72","0,0599",,"0,086",,
"0,029",2 - 5 - 101,"5,42","1,87","0,0600",,"0,028",,
"0,027",3 - 1 - 338,"2,52","3,17","0,0550",,"0,1140",,
"0,0167",3 - 2 - 209,"1,72","3,23","0,0624",,"0,0270",,
"0,0139",3 - 3 - 162,"1,22","2,57","0,0600",,"0,1140",,
"0,0133",3 - 4 - 132,"3,01","1,72","0,0599",,"0,0270",,
"0,0066",3 - 5 - 115,"1,01","1,87","0,0549",,"0,1000",,
"0,0062",4 и более - 1 - 365,"2,66","3,17","0,0599",,"0,0237",,
"0,0151",4 и более - 2 - 227,"1,72","3,23","0,0599",,"0,0753",,
"0,0162",4 и более - 3 - 175,"1,72","3,17","0,0648",,"0,0178",,
"0,017",4 и более - 4 - 143,"4,88","3,23","0,0602",,"0,0566",,
"0,2",4 и более - 5 - 124,"3,18","2,57","0,0648",,"0,0134",,
"0,029",4 и более - 1 - 469,"4,24","1,72","0,06",,"0,0426",,
"0,2",4 и более - 2 - 291,"4,29","1,87","0,0651",,"0,0101",,
"0,02842",4 и более - 3 - 225,"4,33","3,12","0,06",,"0,0320",,
"0,0335",4 и более - 4 - 183,"3,02","3,17","0,0600",,"0,0076",,
"0,0212",4 и более - 5 - 159,"3,79","3,23","0,0648",,"0,0248",,
"0,0227",1 - 1 - 334,"7,36","1,64","0,0600",,"0,0059",,
"0,0195",1 - 2 - 207,"7,46","2,57","0,0672",,"0,086",,
"0,0124",1 - 3 - 160,"7,56","1,87","0,062",,"0,1140",,
"0,0132",1 - 4 - 130,"7,16","1,20","0,0648",,"0,0270",,
"0,0192",1 - 5 - 113,"6,36",,"0,0600",,"0,1140",,
"0,0144",2 - 1 - 431,"3,86",,"0,0599",,"0,0270",,
"0,0139",2 - 2 - 267,"3,15",,"0,0648",,"0,1000",,
"0,0112",2 - 3 - 207,"5,22",,"0,0599",,"0,0237",,
"0,0084",2 - 4 - 168,"5,32",,"0,0648",,"0,0753",,
"0,0081",2 - 5 - 146,"5,42",,"0,0599",,"0,0178",,
"0,0317",3 - 1 - 487,"2,52",,"0,0648",,"0,0566",,
"0,018",3 - 2 - 302,"1,72",,"0,0603",,"0,0134",,
"0,0343",3 - 3 - 234,"1,22",,"0,0603",,"0,0426",,
"0,0342",3 - 4 - 190,"3,01",,"0,0624",,"0,0101",,
"0,0341",3 - 5 - 166,"1,01",,"0,0624",,"0,0320",,
"0,0333",4 и более - 1 - 527,"2,66",,"0,0599",,"0,0076",,
"0,0342",4 и более - 2 - 327,"1,72",,"0,0549",,"0,0248",,
"0,0341",4 и более - 3 - 253,"1,72",,"0,0649",,"0,0059",,
"0,0340",4 и более - 4 - 206,"4,88",,"0,0599",,"0,086",,
"0,0334",4 и более - 5 - 179,"3,18",,"0,0649",,"0,028",,
"0,0343",2 - 1 - 298,"4,29",,"0,0601",,"0,1140",,
"0,0342",2 - 2 - 185,"4,33",,"0,0600",,"0,0270",,
"0,0280",2 - 3 - 143,"3,79",,"0,0649",,"0,1140",,
"0,0278",2 - 4 - 116,"6,36",,"0,0600",,"0,0270",,
"0,0276",2 - 5 - 101,"7,46",,,,"0,1000",,
"0,0241",3 - 1 - 338,"7,56",,,,"0,0237",,
"0,02",3 - 2 - 209,"3,86",,,,"0,0753",,
"0,025",3 - 3 - 162,"1,72",,,,"0,0178",,
"0,019",3 - 4 - 132,"3,01",,,,"0,0566",,
"0,017",3 - 5 - 115,"4,24",,,,"0,0134",,
"0,018",4 и более - 1 - 365,"4,29",,,,"0,0426",,
"0,017",4 и более - 2 - 227,"4,33",,,,"0,0101",,
"0,021",4 и более - 3 - 175,"3,02",,,,"0,0320",,
"0,021",4 и более - 4 - 143,"3,79",,,,"0,0076",,
"0,0195",4 и более - 5 - 124,"7,36",,,,"0,0248",,
"0,02",4 и более - 1 - 469,"7,46",,,,"0,0059",,
"0,02",4 и более - 2 - 291,"7,56",,,,"0,086",,
"0,0162",4 и более - 3 - 225,"7,16",,,,"0,028",,
"0,0197",4 и более - 4 - 183,"6,36",,,,"0,1140",,
"0,02",4 и более - 5 - 159,"3,86",,,,"0,0270",,
"0,02",1 - 1 - 334,"3,15",,,,"0,1140",,
"0,0195",1 - 2 - 207,"5,22",,,,"0,0270",,
"0,0185",1 - 3 - 160,"5,32",,,,"0,1000",,
"0,018",1 - 4 - 130,"5,42",,,,"0,0237",,
"0,018",1 - 5 - 113,"2,52",,,,"0,0753",,
"0,018",2 - 1 - 431,"1,72",,,,"0,0178",,
"0,0603",2 - 2 - 267,"1,22",,,,"0,0566",,
"0,0153",2 - 3 - 207,"3,01",,,,"0,0134",,
"0,0158",2 - 4 - 168,"1,01",,,,"0,0426",,
,2 - 5 - 146,"2,66",,,,"0,0101",,
,3 - 1 - 487,"1,72",,,,"0,0320",,
,3 - 2 - 302,"1,72",,,,"0,0076",,
,3 - 3 - 234,"4,88",,,,"0,0248",,
,3 - 4 - 190,"3,18",,,,"0,0059",,
,3 - 5 - 166,"4,29",,,,"0,086",,
,4 и более - 1 - 527,"4,33",,,,"0,028",,
,4 и более - 2 - 327,"7,56",,,,"0,00857",,
,4 и более - 3 - 253,"7,16",,,,,,
,4 и более - 4 - 206,"6,36",,,,,,
,4 и более - 5 - 179,"3,86",,,,,,
,2 - 1 - 298,"5,22",,,,,,
,2 - 2 - 185,"5,32",,,,,,
,2 - 3 - 143,"5,42",,,,,,
,2 - 4 - 116,"2,52",,,,,,
,2 - 5 - 101,"1,72",,,,,,
,3 - 1 - 338,"1,22",,,,,,
,3 - 2 - 209,"1,01",,,,,,
,3 - 3 - 162,"1,72",,,,,,
,3 - 4 - 132,"1,72",,,,,,
,3 - 5 - 115,"4,24",,,,,,
,4 и более - 1 - 365,"4,29",,,,,,
,4 и более - 2 - 227,"4,33",,,,,,
